age_group,club_member_status,fashion_news_frequency,product_group_name,price,clusters
Adult,ACTIVE,NONE,Garment Lower body,239.04,4
Young Adult,ACTIVE,NONE,Underwear,113.55,1
Adult,PRE-CREATE,NONE,Garment Upper body,103.09,2
Young Adult,ACTIVE,NONE,Underwear,265.18,1
Young Adult,ACTIVE,Regularly,Garment Lower body,239.04,3
Young Adult,ACTIVE,NONE,Accessories,98.8,1
Young Adult,ACTIVE,NONE,Accessories,103.09,1
Elderly,ACTIVE,Regularly,Accessories,118.78,0
Young Adult,ACTIVE,NONE,Underwear,134.46,1
Elderly,ACTIVE,Regularly,Garment Full body,239.04,0
Young Adult,ACTIVE,Regularly,Garment Lower body,218.12,3
Adult,ACTIVE,Regularly,Garment Lower body,176.29,0
Adult,ACTIVE,NONE,Garment Upper body,103.09,4
Young Adult,ACTIVE,Regularly,Underwear,239.04,3
Elderly,ACTIVE,NONE,Garment Full body,448.19,4
Adult,ACTIVE,Regularly,Garment Lower body,186.75,0
Adult,ACTIVE,Regularly,Accessories,134.46,0
Young Adult,ACTIVE,Regularly,Garment Full body,291.33,3
Adult,ACTIVE,NONE,Garment Upper body,343.61,4
Young Adult,ACTIVE,NONE,Garment Upper body,113.55,1
Young Adult,ACTIVE,NONE,Socks & Tights,103.09,1
Adult,ACTIVE,Regularly,Garment Upper body,186.75,0
Adult,ACTIVE,Regularly,Garment Lower body,343.61,0
Young Adult,ACTIVE,Regularly,Garment Full body,186.75,3
Adult,ACTIVE,NONE,Underwear,92.63,4
Elderly,ACTIVE,NONE,Garment Full body,186.75,4
Young Adult,ACTIVE,NONE,Garment Lower body,448.19,1
Elderly,ACTIVE,NONE,Underwear,291.33,4
Elderly,ACTIVE,Regularly,Garment Lower body,225.34,0
Young Adult,ACTIVE,NONE,Underwear,155.38,1
Young Adult,ACTIVE,NONE,Garment Upper body,92.63,1
Young Adult,ACTIVE,NONE,Garment Upper body,113.55,1
Elderly,ACTIVE,Regularly,Garment Upper body,69.1,0
Young Adult,ACTIVE,NONE,Garment Upper body,343.61,1
Young Adult,ACTIVE,Regularly,Garment Upper body,291.33,3
Young Adult,ACTIVE,Regularly,Swimwear,165.83,3
Adult,ACTIVE,NONE,Garment Upper body,239.04,4
Adult,ACTIVE,Regularly,Garment Upper body,186.75,0
Young Adult,ACTIVE,NONE,Garment Full body,395.9,1
Young Adult,ACTIVE,Regularly,Garment Upper body,239.04,3
Adult,ACTIVE,Regularly,Accessories,113.55,0
Adult,ACTIVE,NONE,Garment Upper body,165.83,4
Adult,ACTIVE,NONE,Garment Upper body,186.75,4
Adult,ACTIVE,NONE,Underwear,186.75,4
Young Adult,ACTIVE,Regularly,Garment Lower body,165.83,3
Elderly,ACTIVE,NONE,Garment Lower body,197.21,4
Young Adult,ACTIVE,NONE,Garment Upper body,657.34,1
Young Adult,ACTIVE,Regularly,Garment Upper body,448.19,3
Young Adult,ACTIVE,Regularly,Garment Full body,657.34,3
Young Adult,ACTIVE,NONE,Garment Full body,124,1
Young Adult,ACTIVE,NONE,Swimwear,124,1
Young Adult,ACTIVE,Regularly,Nightwear,343.61,3
Young Adult,ACTIVE,NONE,Garment Full body,218.12,1
Adult,ACTIVE,NONE,Garment Upper body,343.61,4
Young Adult,ACTIVE,NONE,Swimwear,138.64,1
Adult,ACTIVE,NONE,Swimwear,171.06,4
Young Adult,ACTIVE,NONE,Swimwear,134.46,1
Adult,ACTIVE,NONE,Swimwear,134.46,4
Adult,ACTIVE,Regularly,Socks & Tights,51.85,0
Young Adult,ACTIVE,Regularly,Swimwear,171.06,3
Young Adult,ACTIVE,Regularly,Underwear,186.75,3
Young Adult,ACTIVE,Regularly,Swimwear,134.46,3
Adult,ACTIVE,NONE,Garment Upper body,372.58,4
Adult,ACTIVE,NONE,Garment Full body,291.33,4
Adult,ACTIVE,NONE,Garment Upper body,343.61,4
Young Adult,ACTIVE,Regularly,Garment Upper body,82.17,3
Young Adult,ACTIVE,NONE,Garment Lower body,448.19,1
Elderly,ACTIVE,Regularly,Garment Upper body,134.46,0
Elderly,ACTIVE,Regularly,Garment Upper body,239.04,0
Adult,ACTIVE,Regularly,Accessories,61.26,0
Young Adult,ACTIVE,NONE,Swimwear,165.83,1
Young Adult,ACTIVE,NONE,Swimwear,343.61,1
Young Adult,ACTIVE,NONE,Swimwear,124,1
Adult,ACTIVE,NONE,Underwear,85.21,4
Adult,ACTIVE,Regularly,Garment Upper body,291.33,0
Young Adult,ACTIVE,NONE,Shoes,76.94,1
Adult,PRE-CREATE,NONE,Garment Lower body,82.17,2
Adult,ACTIVE,Regularly,Garment Upper body,134.46,0
Elderly,ACTIVE,NONE,Swimwear,186.75,4
Elderly,ACTIVE,Regularly,Garment Full body,239.04,0
Adult,PRE-CREATE,NONE,Swimwear,186.75,2
Young Adult,ACTIVE,NONE,Garment Lower body,291.33,1
Young Adult,ACTIVE,Regularly,Garment Lower body,252.11,3
Young Adult,ACTIVE,Regularly,Socks & Tights,89.49,3
Young Adult,ACTIVE,Regularly,Garment Lower body,343.61,3
Adult,ACTIVE,Regularly,Garment Lower body,134.46,0
Young Adult,ACTIVE,Regularly,Garment Upper body,288.19,3
Young Adult,ACTIVE,NONE,Garment Full body,124,1
Young Adult,ACTIVE,NONE,Garment Upper body,186.75,1
Adult,ACTIVE,Regularly,Garment Upper body,186.75,0
Young Adult,ACTIVE,Regularly,Accessories,86.78,3
Young Adult,ACTIVE,Regularly,Garment Upper body,186.75,3
Young Adult,ACTIVE,NONE,Garment Upper body,181.73,1
Adult,ACTIVE,Regularly,Garment Upper body,239.04,0
Young Adult,ACTIVE,Regularly,Garment Lower body,82.17,3
Young Adult,ACTIVE,Regularly,Garment Upper body,186.75,3
Adult,ACTIVE,NONE,Swimwear,163.22,4
Elderly,PRE-CREATE,NONE,Garment Lower body,239.04,2
Adult,ACTIVE,NONE,Garment Upper body,218.12,4
Young Adult,ACTIVE,Regularly,Garment Full body,239.04,3
Adult,ACTIVE,Regularly,Garment Upper body,186.75,0
Young Adult,ACTIVE,NONE,Garment Upper body,56.66,1
Elderly,ACTIVE,NONE,Garment Upper body,291.33,4
Young Adult,ACTIVE,Regularly,Garment Upper body,329.71,3
Young Adult,ACTIVE,NONE,Garment Upper body,113.55,1
Adult,ACTIVE,NONE,Garment Upper body,186.75,4
Adult,ACTIVE,NONE,Nightwear,103.09,4
Adult,ACTIVE,Regularly,Garment Full body,255.14,0
Adult,ACTIVE,Regularly,Garment Lower body,239.04,0
Young Adult,ACTIVE,Regularly,Garment Upper body,249.5,3
Young Adult,ACTIVE,NONE,Swimwear,186.75,1
Adult,ACTIVE,Regularly,Garment Upper body,134.46,0
Young Adult,ACTIVE,NONE,Garment Upper body,100.89,1
Adult,ACTIVE,Regularly,Garment Lower body,239.04,0
Adult,ACTIVE,Regularly,Garment Upper body,134.46,0
Young Adult,ACTIVE,NONE,Accessories,61.26,1
Young Adult,ACTIVE,NONE,Swimwear,134.46,1
Adult,ACTIVE,NONE,Garment Upper body,741.01,4
Young Adult,ACTIVE,NONE,Garment Upper body,239.04,1
Young Adult,ACTIVE,Regularly,Garment Upper body,186.75,3
Young Adult,ACTIVE,NONE,Garment Lower body,165.83,1
Adult,ACTIVE,Regularly,Garment Lower body,343.61,0
Young Adult,ACTIVE,Regularly,Garment Full body,239.04,3
Elderly,ACTIVE,NONE,Garment Lower body,291.33,4
Young Adult,ACTIVE,Regularly,Swimwear,165.83,3
Adult,ACTIVE,Regularly,Garment Lower body,113.55,0
Adult,ACTIVE,Regularly,Underwear,186.75,0
Adult,ACTIVE,NONE,Garment Lower body,186.75,4
Young Adult,ACTIVE,NONE,Accessories,82.17,1
Adult,ACTIVE,Regularly,Garment Upper body,186.75,0
Young Adult,ACTIVE,Regularly,Garment Upper body,61.26,3
Young Adult,ACTIVE,Regularly,Garment Upper body,61.26,3
Young Adult,ACTIVE,Regularly,Garment Upper body,118.78,3
Young Adult,ACTIVE,NONE,Garment Upper body,76.94,1
Young Adult,ACTIVE,NONE,Underwear,207.67,1
Adult,ACTIVE,NONE,Garment Lower body,218.12,4
Elderly,ACTIVE,Regularly,Garment Full body,135.72,0
Elderly,ACTIVE,NONE,Garment Lower body,448.19,4
Young Adult,ACTIVE,Regularly,Garment Lower body,281.5,3
Adult,ACTIVE,NONE,Garment Full body,343.61,4
Young Adult,ACTIVE,Regularly,Garment Upper body,82.17,3
Adult,ACTIVE,Regularly,Underwear,71.72,0
Young Adult,ACTIVE,Regularly,Garment Upper body,79.35,3
Young Adult,ACTIVE,Regularly,Garment Upper body,249.5,3
Young Adult,ACTIVE,Regularly,Garment Upper body,291.33,3
Adult,ACTIVE,NONE,Garment Lower body,406.36,4
Young Adult,ACTIVE,NONE,Garment Upper body,186.75,1
Young Adult,ACTIVE,Regularly,Garment Full body,134.46,3
Adult,ACTIVE,NONE,Garment Lower body,186.75,4
Young Adult,ACTIVE,NONE,Garment Upper body,134.46,1
Young Adult,ACTIVE,Regularly,Underwear,186.75,3
Elderly,ACTIVE,NONE,Swimwear,239.04,4
Young Adult,ACTIVE,NONE,Garment Upper body,82.17,1
Young Adult,ACTIVE,Regularly,Garment Lower body,239.04,3
Elderly,ACTIVE,Regularly,Garment Upper body,134.46,0
Young Adult,ACTIVE,NONE,Garment Upper body,197.21,1
Adult,ACTIVE,Regularly,Garment Upper body,752.61,0
Adult,ACTIVE,NONE,Garment Lower body,343.61,4
Young Adult,ACTIVE,NONE,Garment Upper body,82.17,1
Adult,ACTIVE,NONE,Garment Lower body,138.64,4
Elderly,ACTIVE,Regularly,Garment Upper body,343.61,0
Adult,ACTIVE,NONE,Garment Lower body,226.18,4
Young Adult,ACTIVE,Regularly,Garment Full body,186.75,3
Adult,ACTIVE,NONE,Garment Lower body,291.33,4
Adult,ACTIVE,Regularly,Garment Upper body,343.61,0
Young Adult,ACTIVE,NONE,Underwear,218.12,1
Adult,PRE-CREATE,NONE,Garment Full body,239.04,2
Teenager,ACTIVE,NONE,Socks & Tights,48.81,0
Young Adult,ACTIVE,NONE,Garment Lower body,239.04,1
Adult,ACTIVE,NONE,Garment Upper body,108.95,4
Young Adult,ACTIVE,Regularly,Swimwear,118.98,3
Young Adult,ACTIVE,Regularly,Underwear,144.92,3
Young Adult,ACTIVE,NONE,Accessories,59.27,1
Elderly,ACTIVE,Regularly,Garment Upper body,239.04,0
Adult,ACTIVE,Regularly,Garment Upper body,155.38,0
Adult,ACTIVE,NONE,Garment Upper body,291.33,4
Young Adult,ACTIVE,NONE,Accessories,105.18,1
Adult,ACTIVE,Regularly,Garment Upper body,134.46,0
Young Adult,ACTIVE,NONE,Garment Upper body,239.04,1
Adult,ACTIVE,NONE,Garment Lower body,186.75,4
Adult,ACTIVE,Regularly,Garment Upper body,134.46,0
Young Adult,ACTIVE,NONE,Underwear,178.91,1
Elderly,ACTIVE,NONE,Accessories,61.26,4
Adult,ACTIVE,Regularly,Underwear,165.83,0
Young Adult,ACTIVE,Regularly,Underwear,165.83,3
Young Adult,ACTIVE,NONE,Garment Upper body,144.92,1
Adult,ACTIVE,NONE,Garment Full body,291.33,4
Adult,ACTIVE,Regularly,Garment Lower body,80.71,0
Adult,ACTIVE,NONE,Garment Full body,239.04,4
Adult,ACTIVE,NONE,Garment Full body,144.92,4
Adult,ACTIVE,NONE,Garment Upper body,134.46,4
Adult,ACTIVE,NONE,Nightwear,239.04,4
Elderly,ACTIVE,Regularly,Garment Upper body,657.34,0
Young Adult,ACTIVE,Regularly,Garment Lower body,134.46,3
Adult,PRE-CREATE,NONE,Garment Upper body,239.04,2
Young Adult,ACTIVE,NONE,Garment Full body,197.21,1
Young Adult,ACTIVE,NONE,Underwear,134.46,1
Young Adult,ACTIVE,NONE,Garment Lower body,165.83,1
Young Adult,ACTIVE,NONE,Garment Upper body,124,1
Adult,ACTIVE,Regularly,Garment Lower body,84.79,0
Young Adult,ACTIVE,Regularly,Garment Lower body,291.33,3
Adult,ACTIVE,NONE,Garment Upper body,239.04,4
Young Adult,ACTIVE,NONE,Garment Upper body,113.55,1
Young Adult,ACTIVE,Regularly,Garment Upper body,542.31,3
Elderly,ACTIVE,NONE,Underwear,218.12,4
Adult,ACTIVE,Regularly,Garment Upper body,239.04,0
Adult,ACTIVE,NONE,Garment Upper body,239.04,4
Young Adult,ACTIVE,NONE,Garment Upper body,117.52,1
Young Adult,ACTIVE,NONE,Accessories,155.38,1
Young Adult,ACTIVE,NONE,Garment Lower body,239.04,1
Adult,ACTIVE,Regularly,Garment Upper body,127.87,0
Young Adult,ACTIVE,NONE,Swimwear,218.12,1
Adult,ACTIVE,Regularly,Garment Upper body,113.55,0
Adult,ACTIVE,NONE,Garment Lower body,552.77,4
Adult,ACTIVE,Regularly,Garment Lower body,385.45,0
Young Adult,ACTIVE,NONE,Garment Full body,239.04,1
Elderly,ACTIVE,Regularly,Garment Upper body,82.17,0
Young Adult,ACTIVE,NONE,Garment Lower body,280.87,1
Young Adult,ACTIVE,NONE,Garment Upper body,239.04,1
Adult,ACTIVE,Regularly,Garment Lower body,239.04,0
Elderly,ACTIVE,Regularly,Garment Lower body,186.75,0
Adult,ACTIVE,NONE,Garment Upper body,395.9,4
Young Adult,ACTIVE,NONE,Accessories,92.63,1
Young Adult,ACTIVE,Regularly,Garment Lower body,186.75,3
Young Adult,ACTIVE,NONE,Underwear,134.46,1
Young Adult,ACTIVE,Regularly,Garment Full body,186.75,3
Young Adult,ACTIVE,NONE,Garment Lower body,239.04,1
Young Adult,ACTIVE,NONE,Garment Lower body,343.61,1
Young Adult,ACTIVE,NONE,Garment Upper body,239.04,1
Young Adult,ACTIVE,Regularly,Garment Upper body,448.19,3
Adult,ACTIVE,NONE,Garment Upper body,186.75,4
Adult,ACTIVE,NONE,Accessories,82.17,4
Young Adult,ACTIVE,NONE,Garment Lower body,395.9,1
Young Adult,ACTIVE,NONE,Garment Lower body,103.09,1
Elderly,ACTIVE,Regularly,Garment Full body,239.04,0
Young Adult,ACTIVE,Regularly,Garment Upper body,71.72,3
Young Adult,ACTIVE,Regularly,Swimwear,134.46,3
Young Adult,ACTIVE,Regularly,Swimwear,134.46,3
Young Adult,ACTIVE,NONE,Garment Lower body,239.04,1
Young Adult,ACTIVE,Regularly,Underwear,197.21,3
Young Adult,ACTIVE,NONE,Accessories,239.04,1
Adult,ACTIVE,NONE,Swimwear,218.12,4
Adult,ACTIVE,Regularly,Garment Upper body,113.55,0
Young Adult,ACTIVE,NONE,Garment Lower body,121.39,1
Young Adult,ACTIVE,NONE,Garment Lower body,186.75,1
Adult,ACTIVE,NONE,Garment Upper body,134.46,4
Young Adult,ACTIVE,NONE,Garment Lower body,239.04,1
Adult,ACTIVE,Regularly,Garment Upper body,291.33,0
Young Adult,ACTIVE,NONE,Garment Full body,239.04,1
Adult,ACTIVE,NONE,Garment Lower body,197.21,4
Young Adult,ACTIVE,NONE,Garment Upper body,124,1
Elderly,ACTIVE,NONE,Garment Lower body,155.38,4
Adult,ACTIVE,NONE,Garment Upper body,120.55,4
Adult,ACTIVE,Regularly,Underwear,258.7,0
Young Adult,ACTIVE,NONE,Garment Upper body,134.46,1
Young Adult,ACTIVE,NONE,Garment Upper body,239.04,1
Young Adult,ACTIVE,Regularly,Garment Lower body,186.75,3
Adult,ACTIVE,Regularly,Garment Lower body,186.75,0
Young Adult,ACTIVE,NONE,Garment Upper body,280.87,1
Elderly,ACTIVE,Regularly,Garment Lower body,165.83,0
Elderly,ACTIVE,NONE,Garment Upper body,113.55,4
Young Adult,ACTIVE,Regularly,Garment Upper body,364.53,3
Adult,ACTIVE,NONE,Garment Upper body,291.33,4
Young Adult,ACTIVE,NONE,Garment Upper body,113.55,1
Young Adult,ACTIVE,NONE,Garment Lower body,134.46,1
Young Adult,ACTIVE,Regularly,Garment Upper body,343.61,3
Adult,ACTIVE,Regularly,Shoes,395.9,0
Adult,ACTIVE,Regularly,Garment Lower body,249.5,0
Young Adult,ACTIVE,NONE,Shoes,249.5,1
Young Adult,ACTIVE,Regularly,Shoes,239.04,3
Young Adult,ACTIVE,NONE,Swimwear,189.89,1
Young Adult,ACTIVE,NONE,Garment Lower body,165.83,1
Adult,ACTIVE,NONE,Garment Full body,186.75,4
Young Adult,ACTIVE,Regularly,Accessories,57.08,3
Young Adult,ACTIVE,Regularly,Shoes,552.77,3
Young Adult,ACTIVE,Regularly,Garment Lower body,176.29,3
Elderly,ACTIVE,Regularly,Garment Full body,186.75,0
Young Adult,ACTIVE,NONE,Swimwear,113.55,1
Young Adult,ACTIVE,Regularly,Swimwear,83.22,3
Young Adult,ACTIVE,NONE,Underwear,65.44,1
Young Adult,ACTIVE,Regularly,Garment Lower body,197.21,3
Adult,ACTIVE,Monthly,Underwear,186.75,0
Young Adult,ACTIVE,NONE,Garment Upper body,134.46,1
Adult,ACTIVE,NONE,Garment Lower body,186.75,4
Young Adult,ACTIVE,Regularly,Underwear,186.75,3
Young Adult,ACTIVE,NONE,Garment Upper body,113.55,1
Young Adult,ACTIVE,Regularly,Shoes,304.4,3
Young Adult,ACTIVE,NONE,Garment Upper body,82.17,1
Adult,ACTIVE,Regularly,Garment Upper body,312.24,0
Adult,ACTIVE,NONE,Garment Lower body,134.46,4
Young Adult,ACTIVE,NONE,Garment Lower body,422.05,1
Young Adult,ACTIVE,Regularly,Garment Full body,218.12,3
Young Adult,ACTIVE,NONE,Underwear,165.83,1
Adult,ACTIVE,NONE,Underwear,165.83,4
Adult,ACTIVE,NONE,Garment Lower body,124,4
Young Adult,ACTIVE,Regularly,Garment Upper body,63.35,3
Adult,ACTIVE,Regularly,Garment Full body,193.76,0
Adult,ACTIVE,NONE,Garment Upper body,134.46,4
Young Adult,ACTIVE,Regularly,Underwear,134.46,3
Young Adult,ACTIVE,NONE,Garment Upper body,124,1
Young Adult,ACTIVE,NONE,Garment Full body,147.64,1
Adult,ACTIVE,Regularly,Garment Upper body,165.83,0
Adult,ACTIVE,NONE,Garment Upper body,280.87,4
Adult,ACTIVE,Regularly,Garment Upper body,670.42,0
Elderly,ACTIVE,Regularly,Garment Upper body,134.46,0
Young Adult,ACTIVE,NONE,Garment Upper body,343.61,1
Young Adult,ACTIVE,Regularly,Garment Upper body,186.75,3
Young Adult,ACTIVE,Regularly,Garment Lower body,291.33,3
Adult,ACTIVE,NONE,Garment Lower body,291.33,4
Young Adult,ACTIVE,Regularly,Garment Lower body,215.09,3
Young Adult,ACTIVE,NONE,Garment Lower body,197.21,1
Adult,ACTIVE,Regularly,Garment Full body,239.04,0
Young Adult,ACTIVE,NONE,Garment Lower body,218.12,1
Adult,ACTIVE,Regularly,Garment Lower body,239.04,0
Young Adult,ACTIVE,Regularly,Garment Upper body,176.29,3
Adult,ACTIVE,Regularly,Garment Full body,866.5,0
Young Adult,ACTIVE,Regularly,Garment Upper body,222.31,3
Elderly,ACTIVE,Regularly,Garment Full body,761.92,0
Young Adult,ACTIVE,Regularly,Shoes,322.7,3
Young Adult,ACTIVE,Regularly,Unknown,218.12,3
Young Adult,ACTIVE,NONE,Garment Upper body,343.61,1
Young Adult,ACTIVE,NONE,Garment Full body,82.17,1
Young Adult,ACTIVE,NONE,Garment Lower body,239.04,1
Adult,PRE-CREATE,NONE,Garment Upper body,197.21,2
Elderly,ACTIVE,NONE,Garment Upper body,89.81,4
Young Adult,ACTIVE,NONE,Garment Full body,165.83,1
Young Adult,ACTIVE,Regularly,Accessories,61.26,3
Elderly,ACTIVE,NONE,Garment Upper body,239.04,4
Adult,ACTIVE,NONE,Garment Upper body,118.78,4
Young Adult,ACTIVE,NONE,Garment Upper body,448.19,1
Young Adult,ACTIVE,Regularly,Garment Full body,186.75,3
Young Adult,ACTIVE,Regularly,Garment Lower body,124,3
Adult,ACTIVE,Regularly,Socks & Tights,99.64,0
Young Adult,ACTIVE,NONE,Garment Lower body,249.5,1
Young Adult,ACTIVE,NONE,Socks & Tights,64.81,1
Adult,ACTIVE,Regularly,Garment Full body,252.11,0
Young Adult,ACTIVE,NONE,Garment Upper body,86.36,1
Young Adult,ACTIVE,NONE,Garment Upper body,124,1
Adult,ACTIVE,NONE,Garment Upper body,186.75,4
Adult,ACTIVE,Regularly,Garment Upper body,218.12,0
Adult,ACTIVE,Regularly,Garment Full body,197.21,0
Young Adult,ACTIVE,Regularly,Socks & Tights,83.74,3
Adult,ACTIVE,Regularly,Garment Upper body,291.33,0
Elderly,ACTIVE,Regularly,Garment Upper body,495.25,0
Young Adult,ACTIVE,NONE,Accessories,82.17,1
Young Adult,ACTIVE,NONE,Shoes,239.04,1
Young Adult,ACTIVE,NONE,Garment Lower body,239.04,1
Young Adult,ACTIVE,Regularly,Accessories,54.67,3
Elderly,ACTIVE,NONE,Garment Lower body,218.12,4
Young Adult,ACTIVE,Regularly,Garment Upper body,134.46,3
Young Adult,ACTIVE,Regularly,Garment Lower body,239.04,3
Young Adult,ACTIVE,Regularly,Accessories,50.8,3
Adult,ACTIVE,NONE,Garment Upper body,239.04,4
Young Adult,ACTIVE,Regularly,Underwear,101,3
Elderly,ACTIVE,Regularly,Garment Full body,291.33,0
Adult,ACTIVE,NONE,Garment Lower body,343.61,4
Young Adult,ACTIVE,NONE,Garment Full body,134.46,1
Elderly,ACTIVE,Regularly,Garment Full body,96.81,0
Young Adult,ACTIVE,NONE,Swimwear,186.75,1
Young Adult,ACTIVE,NONE,Garment Upper body,171.06,1
Adult,ACTIVE,NONE,Swimwear,134.46,4
Young Adult,ACTIVE,NONE,Garment Upper body,343.61,1
Young Adult,ACTIVE,NONE,Garment Full body,291.33,1
Adult,ACTIVE,Regularly,Garment Lower body,124.74,0
Young Adult,ACTIVE,NONE,Garment Upper body,130.38,1
Young Adult,ACTIVE,NONE,Garment Lower body,239.04,1
Young Adult,ACTIVE,Regularly,Swimwear,134.46,3
Adult,ACTIVE,Regularly,Garment Upper body,82.17,0
Young Adult,ACTIVE,Regularly,Garment Lower body,239.04,3
Adult,ACTIVE,Regularly,Garment Lower body,165.83,0
Young Adult,ACTIVE,NONE,Garment Upper body,296.56,1
Young Adult,ACTIVE,NONE,Garment Upper body,87.82,1
Young Adult,ACTIVE,NONE,Garment Upper body,70.46,1
Adult,ACTIVE,Regularly,Garment Full body,343.61,0
Young Adult,ACTIVE,NONE,Garment Lower body,239.04,1
Adult,ACTIVE,NONE,Garment Upper body,54.98,4
Young Adult,ACTIVE,Regularly,Swimwear,218.12,3
Elderly,ACTIVE,NONE,Garment Upper body,113.55,4
Adult,ACTIVE,Regularly,Garment Lower body,186.75,0
Elderly,ACTIVE,Regularly,Garment Lower body,92.63,0
Young Adult,ACTIVE,Regularly,Garment Upper body,186.75,3
Adult,ACTIVE,NONE,Garment Upper body,186.75,4
Adult,ACTIVE,Regularly,Garment Upper body,113.55,0
Adult,ACTIVE,Regularly,Garment Lower body,134.46,0
Adult,ACTIVE,Regularly,Garment Upper body,108.63,0
Young Adult,ACTIVE,NONE,Garment Upper body,239.04,1
Young Adult,ACTIVE,Regularly,Swimwear,134.46,3
Young Adult,ACTIVE,NONE,Swimwear,124,1
Young Adult,ACTIVE,NONE,Garment Upper body,134.46,1
Adult,ACTIVE,Regularly,Garment Upper body,291.33,0
Adult,ACTIVE,NONE,Garment Upper body,124,4
Young Adult,ACTIVE,NONE,Garment Upper body,239.04,1
Elderly,ACTIVE,Regularly,Garment Upper body,239.04,0
Adult,ACTIVE,NONE,Underwear,128.5,4
Adult,ACTIVE,NONE,Garment Upper body,134.46,4
Adult,ACTIVE,NONE,Garment Upper body,103.09,4
Adult,ACTIVE,NONE,Accessories,92.63,4
Adult,ACTIVE,Regularly,Garment Upper body,165.83,0
Adult,ACTIVE,NONE,Garment Lower body,138.64,4
Young Adult,ACTIVE,NONE,Garment Upper body,165.83,1
Young Adult,ACTIVE,Regularly,Garment Full body,218.12,3
Adult,ACTIVE,Regularly,Garment Full body,218.12,0
Young Adult,ACTIVE,NONE,Swimwear,103.09,1
Adult,ACTIVE,Regularly,Garment Full body,222.72,0
Adult,ACTIVE,NONE,Garment Upper body,186.75,4
Elderly,ACTIVE,NONE,Garment Lower body,134.46,4
Young Adult,ACTIVE,NONE,Underwear,156.21,1
Elderly,ACTIVE,NONE,Garment Upper body,103.09,4
Elderly,ACTIVE,Regularly,Garment Upper body,186.75,0
Adult,ACTIVE,Regularly,Garment Full body,291.33,0
Young Adult,ACTIVE,Regularly,Swimwear,186.75,3
Young Adult,ACTIVE,Regularly,Garment Upper body,186.75,3
Young Adult,ACTIVE,Regularly,Garment Lower body,291.33,3
Young Adult,ACTIVE,Regularly,Shoes,249.5,3
