t_dat,customer_id,article_id,price,sales_channel_id,FN,Active,club_member_status,fashion_news_frequency,age,postal_code,year,product_code,prod_name,product_type_no,product_type_name,product_group_name,graphical_appearance_no,graphical_appearance_name,colour_group_code,colour_group_name,perceived_colour_value_id,perceived_colour_value_name,perceived_colour_master_id,perceived_colour_master_name,department_no,department_name,index_code,index_name,index_group_no,index_group_name,section_no,section_name,garment_group_no,garment_group_name,detail_desc
2019-11-30,e7a1d413f61eae5e3ff8000fd1c9cecec449188d19d8ec1a56f7fed7737c2c20,762261003,197.21,2,,,ACTIVE,NONE,49.0,babb783f3e83f68896d2556558ab590f07cf1951e65a05f8f54592e41e22ff88,2019,762261,Pablo sweatshirt,252,Sweater,Garment Upper body,1010014,Placement print,51,Light Pink,1,Dusty Light,4,Pink,1640,Tops Fancy Jersey,D,Divided,2,Divided,53,Divided Collection,1005,Jersey Fancy,"Long-sleeved top in soft sweatshirt fabric with a text motif, dropped shoulders and ribbing around the neckline, cuffs and hem. Soft brushed inside."
2020-03-06,098d6acbb4934aff35ce957403f096f7866b3e0973ce4010ee13d0fe52c773c1,759814009,237.16,2,1.0,1.0,ACTIVE,Regularly,27.0,6c1570aad5de75d989223059e18c763cc303bb7e0cbd152dc6e311caeb64bf63,2020,759814,Sky HW jogger,272,Trousers,Garment Lower body,1010016,Solid,9,Black,4,Dark,5,Black,1643,Basic 1,D,Divided,2,Divided,51,Divided Basics,1002,Jersey Basic,"Joggers in sweatshirt fabric with a high elasticated drawstring waist, side pockets and elasticated hems. Soft brushed inside."
2020-08-19,68ca9e5d397f2aa77ca8dbf66a5ae8f8aa473380263c04a32ebeb053b0059687,852174001,186.75,1,,,ACTIVE,NONE,,e03cf77d64099e3447a13e0788b66c000c6523c9c0f7bf13ffbb936a4fee00f1,2020,852174,Firepower seamless bralette,306,Bra,Underwear,1010016,Solid,9,Black,4,Dark,5,Black,8316,Ladies Sport Bras,S,Sport,26,Sport,5,Ladies H&M Sport,1005,Jersey Fancy,Fully lined sports bralette in ribbed microfibre with wide ribbing at the hem and lined cups with removable inserts that shape the bust. The bralette is designed with the minimum number of seams for a more comfortable fit and increased mobility. Light support.
2020-05-28,3483338edc7834b118784c2914c03a878774d58b8a8eec1b95b8a8e09c664c00,854679002,134.46,1,1.0,1.0,ACTIVE,Regularly,49.0,a973a0e3f1f29f820bf3605506b724d42c09c1c8b14d73ecd540ae4aeabdbdde,2020,854679,C Lolly Highwaist,59,Swimwear bottom,Swimwear,1010026,Other structure,91,Light Green,3,Light,19,Green,4242,Swimwear,B,Lingeries/Tights,1,Ladieswear,60,"Womens Swimwear, beachwear",1018,Swimwear,"Fully lined, waist-high bikini bottoms with a high cut at the back. The polyester content of the outer fabric is partly recycled. The polyester content of the lining is recycled."
2018-12-09,067b6952c87427c16b1f2f15837cfc16436df8b1dfb1028c158d91f124e9191a,624006002,343.61,2,1.0,1.0,ACTIVE,Regularly,21.0,4a975dd6564260f86f1712d55babf0d51c133a189a5ef02402c01cb41dcd2d94,2018,624006,Blake boot BG,87,Boots,Shoes,1010016,Solid,9,Black,4,Dark,5,Black,4321,Young Girl Shoes,J,"Children Accessories, Swimwear",4,Baby/Children,42,Kids & Baby Shoes,1020,Shoes,"Boots in imitation leather with a zip in the side, lacing at the front and a loop at the back. Fleece linings and insoles and chunky rubber soles. Heel approx. 2.5 cm."
2019-09-28,736bca97b545cb156292d590ef0c84ac3440192eeda6e344f4856ea2c81bd59a,574109021,155.38,2,1.0,1.0,ACTIVE,Regularly,28.0,8331bafadf513e635b353e85aad36a8f80ddf4db09aca0e4080fb010650a41c1,2019,574109,Rachel LS TVP,252,Sweater,Garment Upper body,1010017,Stripe,43,Dark Red,4,Dark,18,Red,1647,Tops Knitwear,D,Divided,2,Divided,53,Divided Collection,1003,Knitwear,Fitted top in a fine rib knit with long sleeves and a ribbed neckline.
2019-06-03,005bc33428c265e8a4c025fcd3524de39183130d0369048ffad3aea7dd84dfb2,644763002,134.46,2,1.0,1.0,ACTIVE,Regularly,30.0,d35f63ce8710de2b28b545629a9cc178aa95ce9d10f88659db7dbb5208c473c1,2019,644763,Eden cut padding,306,Bra,Underwear,1010021,Lace,53,Dark Pink,7,Medium,6,Lilac Purple,1338,Expressive Lingerie,B,Lingeries/Tights,1,Ladieswear,61,Womens Lingerie,1017,"Under-, Nightwear","Lace bra with underwired, moulded, lightly padded cups that shape the bust and provide good support. Decorative straps at the front, narrow, adjustable shoulder straps and a fastening at the back with three pairs of hooks and eyes."
2019-10-01,9068e4200ff88134e3c03d6405d7b2767fe603425431eb5b8451be89315b9e5a,739364002,218.12,1,,,ACTIVE,NONE,25.0,b7701e3c281fba29cfd3fc4a2b7f75791d8a550120af40df5a8b710d55a1ddf9,2019,739364,Evie Padded (Milano) 2pk,306,Bra,Underwear,1010016,Solid,93,Dark Green,4,Dark,19,Green,1334,Casual Lingerie,B,Lingeries/Tights,1,Ladieswear,61,Womens Lingerie,1017,"Under-, Nightwear","Lace bras with underwired, lightly padded cups that shape the bust and provide good support. Narrow adjustable shoulder straps and a narrow fastening at the back."
2019-11-01,8ce75d10e16ee6551a3ced415b0f525860d52f9dd214c51fce384812ac9a45d8,792490001,239.04,1,,,ACTIVE,NONE,24.0,3159929dce3feeed27995e6d6c10ac12025a9052428fd1489b026035c2558591,2019,792490,McLaren body,252,Sweater,Garment Upper body,1010009,Glittering/Metallic,9,Black,4,Dark,5,Black,1640,Tops Fancy Jersey,D,Divided,2,Divided,53,Divided Collection,1005,Jersey Fancy,Jersey body with a low-cut neckline at the back and a small stand-up collar that fastens at the back of the neck with concealed hook-and-eye fasteners. Long sleeves and press-studs at the crotch.
2018-12-18,813fae543db0fcdcc143dff10c356cf219be586b2cffd046937069124c6a490a,241412038,165.83,1,1.0,1.0,ACTIVE,Regularly,22.0,2064d8d03a9cdff99d2ddc8359f347c88875b75eec232fc3d8e252275a595d8c,2018,241412,AOP Leggings,273,Leggings/Tights,Garment Lower body,1010001,All over pattern,33,Dark Orange,7,Medium,18,Red,1649,Trousers DS,D,Divided,2,Divided,58,Divided Selected,1009,Trousers,Leggings in patterned jersey with an elasticated waist.
2018-12-21,e9091ec111db43fb1e61a4b32b641340e386a7211adfcd2d3b1e38233aea2bb8,617322004,134.46,2,1.0,,ACTIVE,Regularly,44.0,d21afdb2cf2b11ea3d7eead7037a0975da5e4dda8839a29b2fd24d56b400cab7,2018,617322,Glans tunic,258,Blouse,Garment Upper body,1010006,Dot,9,Black,4,Dark,5,Black,1919,Jersey,A,Ladieswear,1,Ladieswear,2,H&M+,1005,Jersey Fancy,Long-sleeved tunic in jersey crêpe with a rounded hem.
2019-02-23,f3791930e0abf3d9d1bf98fcb560528ff0cbe236bb995d2570caab6dc355fecd,752293001,341.0,1,,,ACTIVE,NONE,63.0,4974379296831a9211eac62d6a883b2eae1e6ba896007c132d5071d263a7c3a8,2019,752293,Frida wide cropped,272,Trousers,Garment Lower body,1010016,Solid,12,Light Beige,1,Dusty Light,11,Beige,1722,Trouser,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1009,Trousers,"5-pocket, ankle-length denim jeans with a high waist and straight, wide legs with creases and frayed hems."
2019-05-24,dcc3e66040b2aa8deeb45e8f37e3a6b3d0c265e5d4569622ebb35b0cd7b3b398,603584019,218.12,1,,,ACTIVE,NONE,24.0,f11970b00029349b7708f6bae517dafcc800b08cfe55444a3dff796de826e191,2019,603584,Khloe RW,274,Shorts,Garment Lower body,1010023,Denim,71,Light Blue,1,Dusty Light,2,Blue,1723,Shorts,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1025,Shorts,"Short, 5-pocket shorts in washed stretch denim with worn details, a regular waist, zip fly and raw-edge hems."
2019-06-24,e45324ed2291deae7634bb495b29693ff1873e4d2990af84b6fc2cf9444b0244,697091002,239.04,2,,,ACTIVE,NONE,45.0,d2ccfd799a146c8ea89ec89b6565bfdad7624b2da74d5e0706d0f834f8accc50,2019,697091,Vivaldi,274,Shorts,Garment Lower body,1010016,Solid,9,Black,4,Dark,5,Black,1723,Shorts,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1025,Shorts,"Short shorts in a Tencel™ lyocell weave with a high waist with elastication at the back, a detachable tie belt and side pockets."
2020-05-24,f0043d9cb571b70e376019002c81f6dab6ad1d34fc544430ade8c23070f1f93c,802979002,165.83,2,1.0,1.0,ACTIVE,Regularly,26.0,eff28771634977d32c739b59f15dc828454605e800efae19252b2e1a04179118,2020,802979,Monzo adj triangle,298,Bikini top,Swimwear,1010016,Solid,33,Dark Orange,7,Medium,3,Orange,4242,Swimwear,B,Lingeries/Tights,1,Ladieswear,60,"Womens Swimwear, beachwear",1018,Swimwear,Lined triangle bikini top with cups that give the bust a natural shape and light support. Ties at the back and back of the neck. The polyester content of the bikini top is recycled.
2020-09-22,05376d8c818ee428ea0b89dced2ec1c40f52867d5949253d603b217eff618af4,783517002,291.33,2,,,ACTIVE,NONE,28.0,f7f75eecc6d1780e9b43d8c25ab1f4d84fc8f5e5306522fcec6735618f26febb,2020,783517,Kiki rib LL-PJ (J),297,Pyjama set,Nightwear,1010010,Melange,9,Black,4,Dark,12,Grey,3709,Nightwear,B,Lingeries/Tights,1,Ladieswear,62,"Womens Nightwear, Socks & Tigh",1017,"Under-, Nightwear","Pyjamas with a short top and bottoms in lightweight, ribbed jersey. Top with a round neckline and long sleeves. Bottoms with an elasticated, drawstring waist and straight legs."
2019-10-02,35d1a1c8e228a7a3163c452f440a47af933c32127c13eba8adc428a02b33415b,693243015,239.04,2,1.0,1.0,ACTIVE,Regularly,60.0,fe3b3f8b5597a5036a268542430133e83b10067e9c8f619d3d26e3f6fca2cd0a,2019,693243,Matey(1),252,Sweater,Garment Upper body,1010010,Melange,17,Yellowish Brown,4,Dark,13,Brown,1626,Knitwear,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1003,Knitwear,"Wide, V-neck jumper in a soft, fine knit containing some wool with dropped shoulders, long sleeves and ribbing at the cuffs and hem."
2020-03-16,454e1a4ccd37663baa7039be789a778c0c21ccf7a96837c118d8a1a0f011f1cb,841260012,124.0,1,,,ACTIVE,NONE,60.0,2c29ae653a9282cce4151bd87643c907644e09541abc28ae87dea0d1f6603b1c,2020,841260,Jen tee,255,T-shirt,Garment Upper body,1010008,Front print,10,White,3,Light,9,White,1636,Jersey fancy,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1005,Jersey Fancy,"T-shirt in soft jersey with a round neckline with a narrow, ribbed trim."
2019-05-24,06512ae37ead832d8aeb97ad3e16e7368974108548f1a7580f4b2af230f7dc2e,623632004,249.5,2,,,ACTIVE,NONE,31.0,bc93e192ab6434fb82f5b61d4453c498fc1878781463b12db3aee4efaa07e2dc,2019,623632,Nirobi,259,Shirt,Garment Upper body,1010017,Stripe,73,Dark Blue,5,Bright,2,Blue,1522,Blouse,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1010,Blouses,"Long linen shirt with a collar and buttons down the front. Long sleeves with wide, buttoned cuffs and a rounded hem with slits in the sides."
2019-01-27,271dae536009122fa0f29bef770b9b47991a473acb43ccb960d0e5ad337cdd6f,721511004,186.75,2,1.0,1.0,ACTIVE,Regularly,37.0,b2422b202aa6191f78ece70528263ab2484223cc70d8dabdb79cba008967bef8,2019,721511,Carmensita dress j,265,Dress,Garment Full body,1010016,Solid,42,Red,5,Bright,18,Red,1344,Dresses,D,Divided,2,Divided,53,Divided Collection,1013,Dresses Ladies,"Short dress in sturdy jersey with a V-neck, wrapover front and long sleeves. Seam with a tie belt at the waist and an asymmetric skirt with a flounce at the hem. Unlined."
2020-05-29,f57c0807da6e0b7dff7a43371667ddfc55ba12925ebe697193beac45dd532694,739590024,134.46,1,1.0,1.0,ACTIVE,Regularly,20.0,6f1460949c68d84010404f05ce9e5723120531dccc83c5d7a7a27254b777cb8f,2020,739590,Timeless Cheeky Brief,59,Swimwear bottom,Swimwear,1010016,Solid,93,Dark Green,2,Medium Dusty,19,Green,4242,Swimwear,B,Lingeries/Tights,1,Ladieswear,60,"Womens Swimwear, beachwear",1018,Swimwear,Fully lined bikini bottoms with a low waist and cutaway coverage at the back.
2019-06-29,afef9984f527a3353f3575e203af52054b0571f78a3ac430dbb510577a74a72d,630994001,291.33,2,1.0,1.0,ACTIVE,Regularly,25.0,6d89a3781ea9652874d5d3ed39626c9d0a7c6dc89f0c2384cef82bfc3fff21ae,2019,630994,Simple as that Padded Swimsuit,57,Swimsuit,Swimwear,1010016,Solid,10,White,3,Light,9,White,4242,Swimwear,B,Lingeries/Tights,1,Ladieswear,60,"Womens Swimwear, beachwear",1018,Swimwear,"Fully lined swimsuit with padded, triangular cups with removable inserts and narrow, adjustable shoulder straps that can be fastened in various ways at the back."
2020-08-11,bc5ef3600a1576b1561a60460f87960eed811fe5c26bde7fd7d06f5468d917ec,767605015,186.75,1,,,ACTIVE,NONE,32.0,fcaa4b6d510fcf8dd1ae2cc679bead92f1a1f3d3434d9f219d3fd52e03842a06,2020,767605,Nicole(1),265,Dress,Garment Full body,1010026,Other structure,7,Grey,1,Dusty Light,12,Grey,1676,Jersey Basic,A,Ladieswear,1,Ladieswear,16,Womens Everyday Basics,1002,Jersey Basic,"Sleeveless, calf-length dress in soft viscose jersey in a straight cut with high slits in the sides."
2019-07-26,965c1f69d3de986c05e9dc31b22e1c5c37e5d0c5b1a958c2c17d87f6320c8dd2,723173001,61.26,1,1.0,1.0,ACTIVE,Regularly,21.0,8b7de4e519f7ac4cdb7215ba776537a994fe81ae8eef0b4f220569cc6936dad8,2019,723173,SPEARMINT,253,Vest top,Garment Upper body,1010016,Solid,10,White,1,Dusty Light,9,White,1543,Tops Woven,D,Divided,2,Divided,53,Divided Collection,1010,Blouses,"Sleeveless top in a crinkled viscose weave with an inset lace trim at the front. Narrow cut with gathers at the top, short, narrow shoulder straps and an opening with a button at the back of the neck. Elasticated seam and a flounce at the hem."
2018-09-26,494d231d09f32ea713a9692213c53534e7d5384d2bfa53877b5b93eae56076ed,647334001,395.9,2,,,ACTIVE,NONE,42.0,a8012f0653b77f0fe179aa4667313453e719b2de1a8b6fd34837294e95b87767,2018,647334,Maltese throw on (twiggy),245,Cardigan,Garment Upper body,1010010,Melange,7,Grey,2,Medium Dusty,12,Grey,1610,Knitwear,A,Ladieswear,1,Ladieswear,6,Womens Casual,1003,Knitwear,"Knee-length cardigan in a soft, fine knit with dropped shoulders and front pockets. Straight hem with slits in the sides, and ribbing at the cuffs and hem. No buttons."
2018-09-30,648e9f6dcf0f9894694a8c6cc6f0cb8bcee42dc35254018967c857cecd6578f1,636455012,343.61,1,1.0,1.0,ACTIVE,Regularly,26.0,b329e63fb0ab73f14ad49a2d7912399c969b52f0ce010c993eb82e7eae88415d,2018,636455,Jennifer (1),264,Blazer,Garment Upper body,1010016,Solid,43,Dark Red,4,Dark,18,Red,1222,Suit jacket,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1008,Dressed,"Straight-cut jacket in woven fabric with notch lapels, welt front pockets with a flap, and no fasteners. Lined."
2019-06-06,cad79ed0b54f14754d4bd313d85fdefd2f3cb3a43e618c8ebba87ec3743b6e29,526302003,186.75,2,,,ACTIVE,NONE,56.0,59b3954ab5176e6dc65ba5775c28a5d828906c2f1524f3869717c00cd4618e39,2019,526302,Bobby,252,Sweater,Garment Upper body,1010009,Glittering/Metallic,6,Light Grey,1,Dusty Light,12,Grey,1647,Tops Knitwear,D,Divided,2,Divided,53,Divided Collection,1003,Knitwear,"Wide, long-sleeved jumper in a soft rib knit containing glittery threads with ribbing around the neckline, cuffs and hem."
2020-08-24,f74fdb288aa92b34d2d8571898504addb7da34518be251e3177e9d89d4ef8ae5,845729002,291.33,2,,,ACTIVE,NONE,26.0,0782bdad4d94b72157d1a6d51a75d5d4afdad76d2d10efa736bb379c2b151eed,2020,845729,Nortull,265,Dress,Garment Full body,1010016,Solid,14,Dark Beige,2,Medium Dusty,13,Brown,3708,Loungewear,A,Ladieswear,1,Ladieswear,62,"Womens Nightwear, Socks & Tigh",1017,"Under-, Nightwear","Knee-length dress in a fine rib knit with a V-neck, long sleeves and a slit in one side."
2019-07-20,9b6566d9153165d158cde4d3336bf4a5b75f5ed1742d710d04d081971d9f09c0,739289001,552.77,2,,,ACTIVE,NONE,33.0,f19c2243ae669532b55fcd03f244b6fc92eff828a12c19079b16ac97ad85cbd5,2019,739289,Libra HW wide,272,Trousers,Garment Lower body,1010016,Solid,10,White,3,Light,9,White,1948,Trousers & Skirt,A,Ladieswear,1,Ladieswear,18,Womens Trend,1009,Trousers,"Trousers in cotton corduroy with a high waist, detachable belt and zip fly. Side pockets, fake back pockets and straight, wide legs."
2019-06-22,5e972c2f71db1fa6a0363b99d23ba924f5db872ba38ac87891b8ffd499f7169d,708499001,134.46,2,,,ACTIVE,NONE,45.0,f94e1514e12181c9d36b62e5977d9818a1bd08bcce8a0d66caceef0e9e81a9ca,2019,708499,Johnny,253,Vest top,Garment Upper body,1010016,Solid,9,Black,4,Dark,5,Black,1636,Jersey fancy,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1005,Jersey Fancy,Sleeveless top in soft viscose jersey with a lace section over the shoulders and a wide neckline with gathers front and back.
2019-07-27,32b97b12190359007c39ebb6145b4295a9515b2c7b2957e0717c7b43aa00c076,659550005,343.61,2,1.0,1.0,ACTIVE,Regularly,23.0,3d6196fb2523a5392820681ca3f57aae8c5bb5cfbd6040d48264d86a9e71151c,2019,659550,lennart dress(1),265,Dress,Garment Full body,1010001,All over pattern,21,Light Yellow,3,Light,8,Yellow,1343,Projects Dresses,D,Divided,2,Divided,50,Divided Projects,1013,Dresses Ladies,"Short, wrapover dress in a patterned weave with a V-neck, concealed press-stud at the top and 3/4-length sleeves with a wide flounce and sewn-on bow. Seam at the waist with a tie belt, a gently flared skirt and a wide flounce at the hem. Unlined."
2020-04-24,718fad3339ed4ece673b77ed82784a483d16d3529be06e2ac36daf83ef458a5b,825086002,165.83,2,1.0,1.0,ACTIVE,Regularly,20.0,e8ff13454919a18f89f7b3a8762c0acb824e7bfbc5fe919890b0ca11bb5bac4e,2020,825086,Melanie Tank,253,Vest top,Garment Upper body,1010016,Solid,9,Black,4,Dark,5,Black,1647,Tops Knitwear,D,Divided,2,Divided,53,Divided Collection,1003,Knitwear,"Short, fitted vest top in a soft rib knit with a round neckline."
2018-10-26,8b7707abd36daaceb95c0d80b58dd97e504f42f35b78d9343bc88821c62c1d72,560270001,312.24,1,,,ACTIVE,NONE,20.0,c69560845c64be3772486a4eb594ab0b09b62286dfc5bbfe069cd7b342006827,2018,560270,NORWAY fleece jacket,308,Hoodie,Garment Upper body,1010016,Solid,8,Dark Grey,4,Dark,-1,Unknown,8316,Ladies Sport Bras,S,Sport,26,Sport,5,Ladies H&M Sport,1005,Jersey Fancy,"Fitted, lightweight outdoor jacket in fast-drying thermal fleece with a hood, zip down the front, zipped side pockets and extra long sleeves with thumbholes."
